url;label;set
eyezz.com.png;authorized;validation
www.123lens.nl.png;authorized;validation
www.1242.eu.png;authorized;validation
www.4eyes.pl.png;authorized;validation
www.Feelgoodcontacts.com.png;authorized;validation
www.HILLIERJEWELLERS.CO.UK.png;authorized;validation
www.LEISURELAKESBIKES.COM.png;authorized;validation
www.Lentes-de-contacto.es.png;authorized;validation
www.Linz-club.ru.png;authorized;validation
www.activerideshop.com.png;authorized;validation
www.all4cycling.com.png;authorized;validation
www.alpingaraget.se.png;authorized;validation
www.americasbest.com.png;authorized;validation
www.annscottage.com.png;authorized;validation
www.basspro.com.png;authorized;validation
www.bestbuyeyeglasses.com.png;authorized;validation
www.bicyclechain.co.uk.png;authorized;validation
www.bikebling.com.png;authorized;validation
www.brilamsterdam.nl.png;authorized;validation
www.brille54.com.png;authorized;validation
www.careofcarl.com.png;authorized;validation
www.centroopticoalpedrete.com.png;authorized;validation
www.centrootticorizzo.it.png;authorized;validation
www.cimaco.com.mx.png;authorized;validation
www.cocky-kontaktni.cz.png;authorized;validation
www.coyoti.com.png;authorized;validation
www.cronos-optika.ru.png;authorized;validation
www.darksidesnowboards.com.png;authorized;validation
www.dportenis.mx.png;authorized;validation
www.dresscodeclothing.com.png;authorized;validation
www.dutyfreedufry.com.br.png;authorized;validation
www.ebay.co.uk.png;authorized;validation
www.ecovisionoptica.es.png;authorized;validation
www.elightoptika.hu.png;authorized;validation
www.elkor.lv.png;authorized;validation
www.eurooptic.com.png;authorized;validation
www.excelsports.com.png;authorized;validation
www.eye-d.gr.png;authorized;validation
www.eye-oo.it.png;authorized;validation
www.eyecare-studio.com.png;authorized;validation
www.eyecareuniverse.com.png;authorized;validation
www.eyeland.gr.png;authorized;validation
www.eyeshop.com.png;authorized;validation
www.ezcontacts.com.png;authorized;validation
www.fairwaygolfusa.com.png;authorized;validation
www.fairwaystyles.com.png;authorized;validation
www.fashiondays.hu.png;authorized;validation
www.fashioneyewear.co.uk.png;authorized;validation
www.frank-berghoff.de.png;authorized;validation
www.fundgrube.es.png;authorized;validation
www.glassespeople.co.kr.png;authorized;validation
www.glasstor.com.png;authorized;validation
www.goodsports.com.png;authorized;validation
www.grandoptical.gr.png;authorized;validation
www.greatoutdoors.ie.png;authorized;validation
www.hawaiivirtual.com.br.png;authorized;validation
www.hoergeraete-pohland.de.png;authorized;validation
www.hosz.pl.png;authorized;validation
www.ibikes.cl.png;authorized;validation
www.krys.com.png;authorized;validation
www.lavishspecs.com.png;authorized;validation
www.lensdirect.com.png;authorized;validation
www.level6.com.png;authorized;validation
www.luggagebase.com.png;authorized;validation
www.martin-optik-nittenau.de.png;authorized;validation
www.mcconveycycles.com.png;authorized;validation
www.misgafasdesol.com.png;authorized;validation
www.motorhelmets.com.png;authorized;validation
www.mrporter.com.png;authorized;validation
www.my-optika.ru.png;authorized;validation
www.myoptical.gr.png;authorized;validation
www.netshoes.com.br.png;authorized;validation
www.nudokki.sk.png;authorized;validation
www.o-planet.hu.png;authorized;validation
www.ofthalmos.gr.png;authorized;validation
www.omb.pt.png;authorized;validation
www.ray-ban.com.png;authorized;validation
www.autolinegmbh.de.png;unauthorized;validation
www.awo-westerland.de.png;unauthorized;validation
