url;label;set
buckmans.com.png;authorized;validation
www.321linsen.de.png;authorized;validation
www.425motorsports.com.png;authorized;validation
www.Augenliebe.de.png;authorized;validation
www.EYEKIT.CO.png;authorized;validation
www.GafasWorld.es.png;authorized;validation
www.MASDINGS.COM.png;authorized;validation
www.aclens.com.png;authorized;validation
www.agspecs.co.th.png;authorized;validation
www.amazon.com.png;authorized;validation
www.amillionsunglasses.com.png;authorized;validation
www.antonsport.no.png;authorized;validation
www.arndt-weiss.de.png;authorized;validation
www.artscyclery.com.png;authorized;validation
www.augenart-muenchen.de.png;authorized;validation
www.befitting.com.png;authorized;validation
www.beseen.gr.png;authorized;validation
www.bigtallfanatics.com.png;authorized;validation
www.biketiresdirect.com.png;authorized;validation
www.blauerboardshop.com.png;authorized;validation
www.brandscycle.com.png;authorized;validation
www.btosports.com.png;authorized;validation
www.btv.co.th.png;authorized;validation
www.caliroots.com.png;authorized;validation
www.cavalierebici.it.png;authorized;validation
www.chaosfishing.com.png;authorized;validation
www.christysports.com.png;authorized;validation
www.ciclisport.com.png;authorized;validation
www.citysports.com.png;authorized;validation
www.cleanlinesurf.com.png;authorized;validation
www.clearly.ca.png;authorized;validation
www.cyclegear.com.png;authorized;validation
www.dalescycles.com.png;authorized;validation
www.dalpassoshop.it.png;authorized;validation
www.designeriwear.net.png;authorized;validation
www.e-okuliare.sk.png;authorized;validation
www.ebasesloaded.com.png;authorized;validation
www.evaldsmtb.se.png;authorized;validation
www.evike.com.png;authorized;validation
www.evo.com.png;authorized;validation
www.extraoptical.no.png;authorized;validation
www.eyegen.com.sg.png;authorized;validation
www.eyeglasses.com.png;authorized;validation
www.eyerim.sk.png;authorized;validation
www.finishline.com.png;authorized;validation
www.foppa.it.png;authorized;validation
www.gehrke-optik.de.png;authorized;validation
www.glasses123.co.uk.png;authorized;validation
www.golfbase.co.uk.png;authorized;validation
www.hargrovescycles.co.uk.png;authorized;validation
www.hbx.com.png;authorized;validation
www.hetzl-hirsch.de.png;authorized;validation
www.hites.com.png;authorized;validation
www.i-bryle.cz.png;authorized;validation
www.intersport.no.png;authorized;validation
www.jackssurfboards.com.png;authorized;validation
www.jamesleonard.com.png;authorized;validation
www.jorgeoculista.pt.png;authorized;validation
www.juweliermeiller.de.png;authorized;validation
www.laboutiqueofficielle.com.png;authorized;validation
www.laopticaonline.es.png;authorized;validation
www.leftlanesports.com.png;authorized;validation
www.lenscrafters.co.in.png;authorized;validation
www.lensmaster.ru.png;authorized;validation
